COMUNE;PROVINCIA;REGIONE;NOME LOCALITA';ABITANTI LOCALITA';QUOTA LOCALITA';ID FEATURE;CODICE LOCALITA'
BARADILI;ORISTANO;Sardegna;BARADILI;119;165;500;1001
BARATILI SAN PIETRO;ORISTANO;Sardegna;BARATILI SAN PIETRO;1203;11;434;1001
BARESSA;ORISTANO;Sardegna;BARESSA;962;165;502;1001
BAULADU;ORISTANO;Sardegna;BAULADU;661;38;427;1001
BIDONI';ORISTANO;Sardegna;BIDONI';188;250;407;1001
BONARCADO;ORISTANO;Sardegna;BONARCADO;1762;283;411;1001
BORONEDDU;ORISTANO;Sardegna;BORONEDDU;206;216;408;1001
BUSACHI;ORISTANO;Sardegna;BUSACHI;1829;379;425;1001
BUSACHI;ORISTANO;Sardegna;SANTA SUSANNA;0;275;431;2001
CABRAS;ORISTANO;Sardegna;CABRAS;7991;6;447;1001
CABRAS;ORISTANO;Sardegna;SAN GIOVANNI DI SINIS;27;7;462;2001
CABRAS;ORISTANO;Sardegna;SAN SALVATORE;3;6;453;2002
CABRAS;ORISTANO;Sardegna;SOLANAS;926;8;451;1002
CUGLIERI;ORISTANO;Sardegna;CUGLIERI;2868;483;395;1001
CUGLIERI;ORISTANO;Sardegna;SANTA CATERINA;353;21;406;1002
CUGLIERI;ORISTANO;Sardegna;S'ARCHITTU;112;14;413;1003
FORDONGIANUS;ORISTANO;Sardegna;FORDONGIANUS;1160;35;433;1001
GHILARZA;ORISTANO;Sardegna;GHILARZA;4519;290;404;1001
GHILARZA;ORISTANO;Sardegna;ZURI;137;265;405;1002
GONNOSCODINA;ORISTANO;Sardegna;GONNOSCODINA;548;112;507;1001
GONNOSNO';ORISTANO;Sardegna;GONNOSNO';1006;195;488;1001
GONNOSTRAMATZA;ORISTANO;Sardegna;GONNOSTRAMATZA;961;96;510;1001
MARRUBIU;ORISTANO;Sardegna;CENTRO TRE;16;4;485;2001
MARRUBIU;ORISTANO;Sardegna;IS BANGIUS;104;58;482;2002
MARRUBIU;ORISTANO;Sardegna;MARRUBIU;4396;7;489;1001
MARRUBIU;ORISTANO;Sardegna;SANT'ANNA;264;20;472;1002
MASULLAS;ORISTANO;Sardegna;MASULLAS;1234;129;506;1001
MILIS;ORISTANO;Sardegna;MILIS;1677;72;419;1001
MOGORELLA;ORISTANO;Sardegna;MOGORELLA;551;265;468;1001
MOGORO;ORISTANO;Sardegna;MOGORO;4888;132;508;1001
MORGONGIORI;ORISTANO;Sardegna;COMUNITA' ALLE SORGENTI;33;594;487;2001
MORGONGIORI;ORISTANO;Sardegna;MORGONGIORI;1003;351;492;1001
NARBOLIA;ORISTANO;Sardegna;NARBOLIA;1688;57;418;1001
NEONELI;ORISTANO;Sardegna;NEONELI;832;554;417;1001
NORBELLO;ORISTANO;Sardegna;DOMUSNOVAS CANALES;59;239;399;2001
NORBELLO;ORISTANO;Sardegna;NORBELLO;1133;315;401;1001
NUGHEDU SANTA VITTORIA;ORISTANO;Sardegna;NUGHEDU SANTA VITTORIA;589;496;412;1001
NURACHI;ORISTANO;Sardegna;NURACHI;1493;6;437;1001
NURECI;ORISTANO;Sardegna;NURECI;483;335;471;1001
OLLASTRA;ORISTANO;Sardegna;OLLASTRA;1257;23;442;1001
ORISTANO;ORISTANO;Sardegna;DONIGALA FENUGHEDDU;1268;8;448;1001
ORISTANO;ORISTANO;Sardegna;MASSAMA;503;9;444;1002
ORISTANO;ORISTANO;Sardegna;NURAXINIEDDU;563;7;449;1003
ORISTANO;ORISTANO;Sardegna;ORISTANO;25398;9;456;1004
ORISTANO;ORISTANO;Sardegna;SILI';1838;10;455;1005
ORISTANO;ORISTANO;Sardegna;TORRE GRANDE;308;3;458;1006
PALMAS ARBOREA;ORISTANO;Sardegna;PALMAS ARBOREA;990;4;465;1001
PALMAS ARBOREA;ORISTANO;Sardegna;TIRIA;36;40;467;2001
PAU;ORISTANO;Sardegna;PAU;413;315;480;1001
PAULILATINO;ORISTANO;Sardegna;PAULILATINO;2679;280;414;1001
POMPU;ORISTANO;Sardegna;POMPU;324;147;498;1001
RIOLA SARDO;ORISTANO;Sardegna;RIOLA SARDO;2076;9;432;1001
RUINAS;ORISTANO;Sardegna;RUINAS;926;359;457;1001
SAMUGHEO;ORISTANO;Sardegna;SAMUGHEO;3739;370;441;1001
SAN NICOLO' D'ARCIDANO;ORISTANO;Sardegna;SAN NICOLO' D'ARCIDANO;2794;13;509;1001
SANTA GIUSTA;ORISTANO;Sardegna;CORTE BACCAS;95;8;460;2001
SANTA GIUSTA;ORISTANO;Sardegna;CUCCURU DE' PORTU;376;8;461;1001
SANTA GIUSTA;ORISTANO;Sardegna;SANTA GIUSTA;3284;10;464;1002
VILLA SANT'ANTONIO;ORISTANO;Sardegna;VILLA SANT'ANTONIO;518;249;469;1001
SANTU LUSSURGIU;ORISTANO;Sardegna;SAN LEONARDO;49;684;396;1001
SANTU LUSSURGIU;ORISTANO;Sardegna;SANTU LUSSURGIU;2852;503;400;1002
SAN VERO MILIS;ORISTANO;Sardegna;MANDRIOLA;74;5;424;1002
SAN VERO MILIS;ORISTANO;Sardegna;PUTZU IDU;60;4;426;1003
SAN VERO MILIS;ORISTANO;Sardegna;SAN VERO MILIS;2155;10;428;1001
SAN VERO MILIS;ORISTANO;Sardegna;S'ARENA SCOADA;2;2;429;1004
SAN VERO MILIS;ORISTANO;Sardegna;SA ROCCA TUNDA;23;3;423;1005
SAN VERO MILIS;ORISTANO;Sardegna;SU PALLOSU;26;2;421;1006
SCANO DI MONTIFERRO;ORISTANO;Sardegna;SCANO DI MONTIFERRO;1902;380;393;1001
SEDILO;ORISTANO;Sardegna;SEDILO;2676;283;397;1001
SENEGHE;ORISTANO;Sardegna;SENEGHE;2051;305;416;1001
SENIS;ORISTANO;Sardegna;SENIS;669;256;470;1001
SENNARIOLO;ORISTANO;Sardegna;SENNARIOLO;202;274;394;1001
SIAMAGGIORE;ORISTANO;Sardegna;PARDU NOU;21;9;445;2001
SIAMAGGIORE;ORISTANO;Sardegna;SIAMAGGIORE;714;8;443;1001
SIAMANNA;ORISTANO;Sardegna;PRANIXEDDU;39;110;459;2001
SIAMANNA;ORISTANO;Sardegna;SIAMANNA;820;49;454;1001
SIMALA;ORISTANO;Sardegna;SIMALA;467;155;501;1001
SIMAXIS;ORISTANO;Sardegna;SAN VERO CONGIUS;113;18;446;1001
SIMAXIS;ORISTANO;Sardegna;SIMAXIS;1954;17;450;1002
SINI;ORISTANO;Sardegna;SINI;679;255;490;1001
SIRIS;ORISTANO;Sardegna;SIRIS;261;161;504;1001
SOLARUSSA;ORISTANO;Sardegna;SOLARUSSA;2386;12;439;1001
SORRADILE;ORISTANO;Sardegna;SORRADILE;583;337;410;1001
TADASUNI;ORISTANO;Sardegna;TADASUNI;216;180;409;1001
TERRALBA;ORISTANO;Sardegna;MARCEDDI;31;1;499;1001
TERRALBA;ORISTANO;Sardegna;TANCA MARCHESE;495;4;494;1002
TERRALBA;ORISTANO;Sardegna;TERRALBA;9538;9;495;1003
TRAMATZA;ORISTANO;Sardegna;TRAMATZA;996;22;430;1001
TRESNURAGHES;ORISTANO;Sardegna;PORTO ALABE;79;24;392;1001
TRESNURAGHES;ORISTANO;Sardegna;TRESNURAGHES;1290;257;391;1002
ULA' TIRSO;ORISTANO;Sardegna;SANTA CHIARA DEL TIRSO;3;202;420;2001
ULA' TIRSO;ORISTANO;Sardegna;ULA' TIRSO;684;348;422;1001
URAS;ORISTANO;Sardegna;URAS;3285;23;505;1001
USELLUS;ORISTANO;Sardegna;ESCOVEDU;244;223;479;1001
USELLUS;ORISTANO;Sardegna;USELLUS;731;289;473;1002
VILLANOVA TRUSCHEDU;ORISTANO;Sardegna;VILLANOVA TRUSCHEDU;347;56;436;1001
VILLAURBANA;ORISTANO;Sardegna;VILLAURBANA;1928;84;463;1001
VILLA VERDE;ORISTANO;Sardegna;VILLA VERDE;459;204;478;1001
ZEDDIANI;ORISTANO;Sardegna;ZEDDIANI;1002;9;435;1001
ZERFALIU;ORISTANO;Sardegna;ZERFALIU;1171;15;438;1001
SIAPICCIA;ORISTANO;Sardegna;SIAPICCIA;411;64;452;1001
CURCURIS;ORISTANO;Sardegna;CURCURIS;325;130;493;1001
SODDI';ORISTANO;Sardegna;SODDI';180;250;402;1001
BOSA;ORISTANO;Sardegna;BOSA;7918;2;623;1001
BOSA;ORISTANO;Sardegna;BOSA MARINA;534;3;627;1002
FLUSSIO;ORISTANO;Sardegna;FLUSSIO;525;305;640;1001
GENONI;ORISTANO;Sardegna;GENONI;1103;447;710;1001
LACONI;ORISTANO;Sardegna;CRASTU;93;330;707;1001
LACONI;ORISTANO;Sardegna;LACONI;2228;550;697;1002
LACONI;ORISTANO;Sardegna;SANTA SOFIA;99;818;694;1003
MAGOMADAS;ORISTANO;Sardegna;MAGOMADAS;593;263;642;1001
MAGOMADAS;ORISTANO;Sardegna;SA LUMENERA;21;80;639;2001
MAGOMADAS;ORISTANO;Sardegna;SANTA MARIA DEL MARE;0;62;643;1002
MAGOMADAS;ORISTANO;Sardegna;VILLAGGIO TURAS;1;65;637;2002
MODOLO;ORISTANO;Sardegna;MODOLO;202;134;633;1001
MONTRESTA;ORISTANO;Sardegna;MONTRESTA;801;410;608;1001
SAGAMA;ORISTANO;Sardegna;SAGAMA;254;333;644;1001
SUNI;ORISTANO;Sardegna;SUNI;1294;340;632;1001
TINNURA;ORISTANO;Sardegna;TINNURA;253;328;636;1001
AGGIUS;OLBIA-TEMPIO;Sardegna;AGGIUS;1617;514;121;1001
AGGIUS;OLBIA-TEMPIO;Sardegna;BONAITA;45;516;118;1002
AGLIENTU;OLBIA-TEMPIO;Sardegna;AGLIENTU;586;420;68;1001
AGLIENTU;OLBIA-TEMPIO;Sardegna;PORTOBELLO;8;50;48;1002
AGLIENTU;OLBIA-TEMPIO;Sardegna;RENA MAJORE;88;52;38;1003
AGLIENTU;OLBIA-TEMPIO;Sardegna;VIGNOLA MARE;6;6;51;1004
ALA' DEI SARDI;OLBIA-TEMPIO;Sardegna;ALA' DEI SARDI;1964;663;333;1001
ALA' DEI SARDI;OLBIA-TEMPIO;Sardegna;BADDE SUELZU;38;550;312;2001
ALA' DEI SARDI;OLBIA-TEMPIO;Sardegna;SCALA PEDROSA;17;589;319;2002
ARZACHENA;OLBIA-TEMPIO;Sardegna;ABBIADORI;296;116;60;1001
ARZACHENA;OLBIA-TEMPIO;Sardegna;ARZACHENA;5154;85;67;1002
ARZACHENA;OLBIA-TEMPIO;Sardegna;BAJA SARDINIA;172;5;45;1003
ARZACHENA;OLBIA-TEMPIO;Sardegna;CALA BITTA;73;13;52;2001
ARZACHENA;OLBIA-TEMPIO;Sardegna;CALA DI VOLPE;35;17;58;2002
ARZACHENA;OLBIA-TEMPIO;Sardegna;CANNIGIONE;656;5;55;1004
ARZACHENA;OLBIA-TEMPIO;Sardegna;CAPRICCIOLI;17;71;63;1005
ARZACHENA;OLBIA-TEMPIO;Sardegna;GOLFO PEVERO;110;15;54;1006
ARZACHENA;OLBIA-TEMPIO;Sardegna;LA CONIA;98;13;50;2003
ARZACHENA;OLBIA-TEMPIO;Sardegna;LISCIA DI VACCA;208;65;44;1007
ARZACHENA;OLBIA-TEMPIO;Sardegna;MONTICANAGLIA;288;50;70;2004
ARZACHENA;OLBIA-TEMPIO;Sardegna;MUCCHI BIANCHI;0;20;49;2005
ARZACHENA;OLBIA-TEMPIO;Sardegna;PANTOGIA;30;105;53;2006
ARZACHENA;OLBIA-TEMPIO;Sardegna;POLTU QUATU;1;40;46;2007
ARZACHENA;OLBIA-TEMPIO;Sardegna;PORTO CERVO;301;8;43;1008
ARZACHENA;OLBIA-TEMPIO;Sardegna;ROMAZZINO;20;23;59;2008
ARZACHENA;OLBIA-TEMPIO;Sardegna;SANTA TERESINA;115;73;65;2009
ARZACHENA;OLBIA-TEMPIO;Sardegna;TANCA MANNA;22;25;47;2010
BADESI;OLBIA-TEMPIO;Sardegna;AZZAGULTA;102;135;117;1001
BADESI;OLBIA-TEMPIO;Sardegna;BADESI;1255;102;105;1002
BADESI;OLBIA-TEMPIO;Sardegna;LA TOZZA;189;129;109;1003
BADESI;OLBIA-TEMPIO;Sardegna;LI JUNCHI;4;7;102;1004
BADESI;OLBIA-TEMPIO;Sardegna;MUNTIGGIONI;295;148;112;1005
BADESI;OLBIA-TEMPIO;Sardegna;PIROTTO LI FRATI;8;5;116;1006
BERCHIDDA;OLBIA-TEMPIO;Sardegna;BERCHIDDA;3295;290;253;1001
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;ALVARIZZU;59;61;189;1001
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;BORTIGIADAS;500;479;162;1002
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;FIGARUIA;48;411;157;2001
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;FRAIGATA;45;65;183;2002
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;FUMOSA;11;298;161;2003
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;GIOVANNI MORO;31;325;163;2004
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;LI PAULIS;13;376;165;2005
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;LU FALZU;41;520;153;2006
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;LU TORRINU;27;87;176;2007
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;MASTRUIAGU;21;70;184;2008
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;PONTI EZZU;30;62;190;2009
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;SCALA RUIA;18;90;186;2010
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;SCUPAGGIU;60;61;175;2011
BORTIGIADAS;OLBIA-TEMPIO;Sardegna;STAZIONE FERROVIARIA;2;320;166;2012
BUDDUSO';OLBIA-TEMPIO;Sardegna;BUDDUSO';4205;700;351;1001
BUDONI;OLBIA-TEMPIO;Sardegna;AGRUSTOS;189;53;544;1001
BUDONI;OLBIA-TEMPIO;Sardegna;BAIA SANT'ANNA;3;35;564;2001
BUDONI;OLBIA-TEMPIO;Sardegna;BERRUILES;247;71;545;1002
BUDONI;OLBIA-TEMPIO;Sardegna;BIRGALAVO';43;94;547;2002
BUDONI;OLBIA-TEMPIO;Sardegna;BUDONI;1063;16;555;1003
BUDONI;OLBIA-TEMPIO;Sardegna;LIMPIDDU;214;30;560;1004
BUDONI;OLBIA-TEMPIO;Sardegna;LUDDUI;10;156;543;2003
BUDONI;OLBIA-TEMPIO;Sardegna;LUTTURAI;17;100;557;2004
BUDONI;OLBIA-TEMPIO;Sardegna;MAIORCA;44;60;553;2005
BUDONI;OLBIA-TEMPIO;Sardegna;MALAMORI';63;47;550;2006
BUDONI;OLBIA-TEMPIO;Sardegna;MATTA E PERU;7;9;572;2007
BUDONI;OLBIA-TEMPIO;Sardegna;MURISCUVO';30;45;569;2008
BUDONI;OLBIA-TEMPIO;Sardegna;NUDITTA;37;115;552;2009
BUDONI;OLBIA-TEMPIO;Sardegna;OTTIOLU;21;9;542;1005
BUDONI;OLBIA-TEMPIO;Sardegna;PONTE;47;15;554;2010
BUDONI;OLBIA-TEMPIO;Sardegna;SAN GAVINO;140;62;562;1006
BUDONI;OLBIA-TEMPIO;Sardegna;SAN LORENZO;247;121;566;1007
BUDONI;OLBIA-TEMPIO;Sardegna;SAN PIETRO;75;88;558;2011
BUDONI;OLBIA-TEMPIO;Sardegna;SAN SILVESTRO;62;40;551;2012
BUDONI;OLBIA-TEMPIO;Sardegna;S'ISCALA;41;50;565;2013
BUDONI;OLBIA-TEMPIO;Sardegna;SOLITA';185;56;563;1008
BUDONI;OLBIA-TEMPIO;Sardegna;STRUGAS;58;215;556;2014
BUDONI;OLBIA-TEMPIO;Sardegna;TAMARISPA;188;178;567;1009
BUDONI;OLBIA-TEMPIO;Sardegna;TANAUNELLA;527;43;559;1010
CALANGIANUS;OLBIA-TEMPIO;Sardegna;CALANGIANUS;4548;500;127;1001
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;GOLFO ARANCI;1744;2;88;1001
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;MARINELLA;45;25;89;1002
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;NODU PIANU;4;20;106;2001
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;PUNTA BADOS;3;5;107;2002
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;PUNTA PEDROSA;0;10;96;2003
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;SOPRAMONTE;0;124;98;2004
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;SOTTOMONTE;2;47;99;2005
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;SPIAGGIA BIANCA;1;20;95;2006
GOLFO ARANCI;OLBIA-TEMPIO;Sardegna;TERRATA;16;40;101;2007
LA MADDALENA;OLBIA-TEMPIO;Sardegna;CALA FRANCESE;14;15;21;2001
LA MADDALENA;OLBIA-TEMPIO;Sardegna;CALA SANTA MARIA;0;2;1;2011
LA MADDALENA;OLBIA-TEMPIO;Sardegna;GUARDIA VECCHIA;49;149;20;2002
LA MADDALENA;OLBIA-TEMPIO;Sardegna;LA MADDALENA;10499;19;16;1001
LA MADDALENA;OLBIA-TEMPIO;Sardegna;PORTO MASSIMO;8;25;2;2003
LA MADDALENA;OLBIA-TEMPIO;Sardegna;PUNTA VILLA;46;76;18;2004
LA MADDALENA;OLBIA-TEMPIO;Sardegna;PUZZONI;35;17;15;2005
LA MADDALENA;OLBIA-TEMPIO;Sardegna;STAGNALI;91;2;24;2010
LA MADDALENA;OLBIA-TEMPIO;Sardegna;STAZZO VILLA;2;90;10;2006
LA MADDALENA;OLBIA-TEMPIO;Sardegna;SUALEDDU;28;36;9;2007
LA MADDALENA;OLBIA-TEMPIO;Sardegna;VIGNA GRANDE;20;49;14;2008
LA MADDALENA;OLBIA-TEMPIO;Sardegna;VILLAGGIO PIRAS;102;20;8;2009
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;AZZANI';257;95;235;2001
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;AZZANIDO';38;145;230;2002
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;BURRASCA;15;124;220;2003
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;CASTAGNA;28;55;209;2004
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;COSTA DORATA;5;60;182;2005
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;ENAS;106;130;200;2006
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;ENAS FRATELLI GIUA;41;121;208;2007
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;GRAMINATOGGIU;47;104;233;2008
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;LOIRI;376;100;201;1001
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;MONTE PETROSU;16;45;206;1002
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;MONTILITTU;132;76;204;2009
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;MUZZEDDU;37;150;218;2010
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;OVILO';62;152;238;2011
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;PORTO SAN PAOLO;470;13;170;1003
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;PORTO TAVERNA;2;72;185;2012
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;PUNTA DON DIEGO;6;20;177;2013
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;PUNTA PIETRA BIANCA;0;72;191;2014
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;SANALVO';20;128;215;2015
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;SANTU JUANNI;25;86;224;2016
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;SARRA;44;186;219;2017
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;TIRIDDO';23;132;188;2018
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;TRUDDA;36;169;202;2019
LOIRI PORTO SAN PAOLO;OLBIA-TEMPIO;Sardegna;VACCILEDDI;67;30;198;1004
LUOGOSANTO;OLBIA-TEMPIO;Sardegna;CHESSA;24;155;57;2001
LUOGOSANTO;OLBIA-TEMPIO;Sardegna;CRISCIULEDDU;26;178;75;2002
LUOGOSANTO;OLBIA-TEMPIO;Sardegna;LU MOCU;45;175;71;2003
LUOGOSANTO;OLBIA-TEMPIO;Sardegna;LUOGOSANTO;1337;321;74;1001
LURAS;OLBIA-TEMPIO;Sardegna;LURAS;2614;508;119;1001
MONTI;OLBIA-TEMPIO;Sardegna;FRADES BERRITTEDDOS;123;110;214;2001
MONTI;OLBIA-TEMPIO;Sardegna;FRADES TILIGNAS;54;101;211;2002
MONTI;OLBIA-TEMPIO;Sardegna;LA PALAZZINA;239;92;210;1001
MONTI;OLBIA-TEMPIO;Sardegna;MONTI;2058;300;237;1002
MONTI;OLBIA-TEMPIO;Sardegna;SOS RUEDDOS;60;512;269;2003
MONTI;OLBIA-TEMPIO;Sardegna;STAZIONE DI MONTI;49;290;216;2004
OLBIA;OLBIA-TEMPIO;Sardegna;BATTISTA;45;296;274;2019
OLBIA;OLBIA-TEMPIO;Sardegna;BERCHIDDEDDU;512;296;222;1010
OLBIA;OLBIA-TEMPIO;Sardegna;BUNTHE;4;6;150;2001
OLBIA;OLBIA-TEMPIO;Sardegna;COSTA CORALLINA;21;20;169;2002
OLBIA;OLBIA-TEMPIO;Sardegna;COSTA ROMANTICA;16;62;151;2003
OLBIA;OLBIA-TEMPIO;Sardegna;CUGNANA VERDE;8;168;84;1001
OLBIA;OLBIA-TEMPIO;Sardegna;LE SALINE;6;8;144;2004
OLBIA;OLBIA-TEMPIO;Sardegna;LE VECCHIE SALINE;61;8;152;2005
OLBIA;OLBIA-TEMPIO;Sardegna;LI CUNCHEDDI;5;47;142;1002
OLBIA;OLBIA-TEMPIO;Sardegna;LIDO DEL SOLE;29;5;136;2006
OLBIA;OLBIA-TEMPIO;Sardegna;LU STICCADU;30;31;126;2007
OLBIA;OLBIA-TEMPIO;Sardegna;MAMUSI;111;335;279;2020
OLBIA;OLBIA-TEMPIO;Sardegna;MANNACCIU;44;30;129;2008
OLBIA;OLBIA-TEMPIO;Sardegna;MARINELLA;16;20;85;1003
OLBIA;OLBIA-TEMPIO;Sardegna;MILMEGGIU;11;110;80;2009
OLBIA;OLBIA-TEMPIO;Sardegna;MONTE TELTI;48;70;141;2010
OLBIA;OLBIA-TEMPIO;Sardegna;MURTA MARIA;305;10;156;1004
OLBIA;OLBIA-TEMPIO;Sardegna;OLBIA;34336;15;111;1005
OLBIA;OLBIA-TEMPIO;Sardegna;OSSEDDU;45;87;108;2011
OLBIA;OLBIA-TEMPIO;Sardegna;PEDRU GAIAS;37;250;267;2021
OLBIA;OLBIA-TEMPIO;Sardegna;PITTULONGU;275;4;110;1006
OLBIA;OLBIA-TEMPIO;Sardegna;PORTISCO;8;24;78;2012
OLBIA;OLBIA-TEMPIO;Sardegna;PORTO ISTANA;90;12;155;2013
OLBIA;OLBIA-TEMPIO;Sardegna;PORTO ROTONDO;277;5;81;1007
OLBIA;OLBIA-TEMPIO;Sardegna;PUNTA SALINE;5;7;137;2014
OLBIA;OLBIA-TEMPIO;Sardegna;PUTZOLU;257;58;139;2015
OLBIA;OLBIA-TEMPIO;Sardegna;RUDALZA;208;58;90;1008
OLBIA;OLBIA-TEMPIO;Sardegna;SA CASTANZA;93;250;243;2022
OLBIA;OLBIA-TEMPIO;Sardegna;SA ISTRANA;113;31;115;2016
OLBIA;OLBIA-TEMPIO;Sardegna;SAN PANTALEO;634;166;77;1009
OLBIA;OLBIA-TEMPIO;Sardegna;SANTA LUCIA;63;85;104;2017
OLBIA;OLBIA-TEMPIO;Sardegna;SOLE RUIU;10;220;93;2018
OLBIA;OLBIA-TEMPIO;Sardegna;SOS CODDOS;31;300;266;2023
OLBIA;OLBIA-TEMPIO;Sardegna;SU CARRU;27;258;244;2024
OLBIA;OLBIA-TEMPIO;Sardegna;TRAINU MOLTU;104;258;255;2025
OSCHIRI;OLBIA-TEMPIO;Sardegna;DIGA COGHINAS;8;198;260;2001
OSCHIRI;OLBIA-TEMPIO;Sardegna;GIAGONE;19;457;231;2002
OSCHIRI;OLBIA-TEMPIO;Sardegna;OSCHIRI;3773;202;307;1001
OSCHIRI;OLBIA-TEMPIO;Sardegna;PIANAS-SA MURIGHESSA;30;331;264;2003
PADRU;OLBIA-TEMPIO;Sardegna;BIAXI;116;168;273;1002
PADRU;OLBIA-TEMPIO;Sardegna;BUDO';13;170;259;2001
PADRU;OLBIA-TEMPIO;Sardegna;CUZZOLA;148;257;308;1003
PADRU;OLBIA-TEMPIO;Sardegna;LUDURRU;79;403;317;2002
PADRU;OLBIA-TEMPIO;Sardegna;PADRU;1070;171;280;1004
PADRU;OLBIA-TEMPIO;Sardegna;PEDRA BIANCA;88;599;329;1005
PADRU;OLBIA-TEMPIO;Sardegna;SA SERRA;178;439;315;1006
PADRU;OLBIA-TEMPIO;Sardegna;SOS RUNCOS;33;438;313;2003
PADRU;OLBIA-TEMPIO;Sardegna;SOZZA;161;262;303;1007
PADRU;OLBIA-TEMPIO;Sardegna;SU TIRIALZU;66;470;310;2004
PALAU;OLBIA-TEMPIO;Sardegna;ALTURA;9;44;30;2001
PALAU;OLBIA-TEMPIO;Sardegna;BARRABISA;50;51;32;2002
PALAU;OLBIA-TEMPIO;Sardegna;CAPANNACCIA;86;48;36;2003
PALAU;OLBIA-TEMPIO;Sardegna;CAPO D'ORSO;25;63;35;2004
PALAU;OLBIA-TEMPIO;Sardegna;COSTA SERENA;26;5;26;2005
PALAU;OLBIA-TEMPIO;Sardegna;LE SALINE;26;17;41;2006
PALAU;OLBIA-TEMPIO;Sardegna;LISCIA CULUMBA;47;6;33;2007
PALAU;OLBIA-TEMPIO;Sardegna;PALAU;2579;5;28;1001
PALAU;OLBIA-TEMPIO;Sardegna;PETRALANA;1;14;31;2008
PALAU;OLBIA-TEMPIO;Sardegna;PORTO POLLO;23;23;27;2009
PALAU;OLBIA-TEMPIO;Sardegna;PULCHEDDU;14;86;40;2010
PALAU;OLBIA-TEMPIO;Sardegna;PUNTA SARDEGNA;54;11;23;2011
SANT'ANTONIO DI GALLURA;OLBIA-TEMPIO;Sardegna;PRIATU;196;345;120;1001
SANT'ANTONIO DI GALLURA;OLBIA-TEMPIO;Sardegna;SANT'ANTONIO DI GALLURA;1132;355;94;1002
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;CAPO TESTA;44;41;7;2001
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;CONCA VERDE;14;42;22;2002
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;GIOVAN MARCO;5;28;29;2003
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;LA FICACCIA;36;84;6;2004
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;LA FILETTA;32;63;11;2005
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;LA MARMORATA;19;55;4;1001
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;LI PINNENTI;8;74;34;2006
SANTA TERESA GALLURA;OLBIA-TEMPIO;Sardegna;MARAZZINO;63;74;13;2007
