Codice comparto;Indirizzo;Carraio;Fronte;Insegna;Anno inizio attivita;Mese inizio attivita;Tipologia merceologica;Descrizione ripartizione;Dettaglio ripartizione;Categoria merceologica;Prevalente;Tipologia locale;Mq tot locale;Mq tot vendita;Tipologia addensamento;Nome addensamento;Sezione censimento;Zona statistica;Numero Circoscrizione;Sezione elettorale;Cap;DO_Y;DO_X
CF;PIAZZA BASILICATA 6/C;0;0;;2007;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Abbigliamento;S;100383;46;46;N;NEGOZIO;2711;59;2;0;10137;45.0464347684998;7.63100794352207
CF;PIAZZA BENGASI 13;0;0;;1996;1;ALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Macelleria;S;30001;20;.;;NEGOZIO;2311;58;9;838;10127;45.016846730454;7.66222699296937
CF;PIAZZA BENGASI 13/D;0;0;;2001;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Elettronica;S;10010;36;.;;NEGOZIO;2311;58;9;0;10127;45.0168301456263;7.66222055116094
CF;PIAZZA BENGASI 13/D;0;0;;2008;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;103753;204;101;N;NEGOZIO;2311;58;9;0;10127;45.0168301456263;7.66222055116094
CF;PIAZZA BENGASI 13/D;0;0;;2008;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Tabacchi;S;103753;204;101;N;NEGOZIO;2311;58;9;0;10127;45.0168301456263;7.66222055116094
CF;PIAZZA BENGASI 14/E;0;0;;2004;9;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Alimentari;S;28051;45;.;N;NEGOZIO;2310;58;9;0;10127;45.0172298609961;7.66040521525844
CF;PIAZZA BENGASI 14/E;0;0;;2004;9;MISTA;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Extralimentari;N;28051;45;.;N;NEGOZIO;2310;58;9;0;10127;45.0172298609961;7.66040521525844
CF;PIAZZA BENGASI 15;0;0;;2009;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Quotidiani e periodici;S;14058;13;.;N;CHIOSCO;2311;58;9;838;10127;45.0166898886478;7.66216604582656
CF;PIAZZA BENGASI 15;0;0;;2010;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Fotografia;S;8246;70;50;N;NEGOZIO;2311;58;9;838;10127;45.0166898886478;7.66216604582656
CF;PIAZZA BENGASI 15/D;0;1;;2009;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Vend.dettaglio con superf. fino a mq 250;Cartolerie;S;14057;12;12;N;NEGOZIO;2311;58;9;0;10127;45.0165820815432;7.66138017595368
